JoinField,JoinField_alt,Ward/Township,Precinct,Toni Preckwinkle,Brendan Reilly,Total Voters
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,545,120,665
CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,483,162,645
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,579,218,797
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,587,148,735
CITY OF CHICAGO:WARD 46 PRECINCT 14,CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,273,72,345
CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,559,230,789
CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,519,97,616
CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,626,122,748
CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,557,148,705
CITY OF CHICAGO:WARD 46 PRECINCT 19,CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,465,127,592
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,358,91,449
CITY OF CHICAGO:WARD 46 PRECINCT 21,CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,284,101,385
CITY OF CHICAGO:WARD 46 PRECINCT 22,CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,355,77,432
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,283,96,379
CITY OF CHICAGO:WARD 47 PRECINCT 01,CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,381,118,499
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,411,108,519
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,464,87,551
CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,542,146,688
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,696,109,805
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,581,134,715
CITY OF CHICAGO:WARD 47 PRECINCT 07,CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,737,181,918
CITY OF CHICAGO:WARD 47 PRECINCT 08,CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,474,95,569
CITY OF CHICAGO:WARD 47 PRECINCT 09,CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,517,175,692
CITY OF CHICAGO:WARD 47 PRECINCT 10,CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,552,100,652
CITY OF CHICAGO:WARD 47 PRECINCT 11,CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,410,138,548
CITY OF CHICAGO:WARD 47 PRECINCT 12,CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,353,79,432
CITY OF CHICAGO:WARD 47 PRECINCT 13,CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,337,109,446
CITY OF CHICAGO:WARD 47 PRECINCT 14,CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,368,159,527
CITY OF CHICAGO:WARD 47 PRECINCT 15,CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,341,187,528
CITY OF CHICAGO:WARD 47 PRECINCT 16,CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,335,184,519
CITY OF CHICAGO:WARD 47 PRECINCT 17,CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,353,125,478
CITY OF CHICAGO:WARD 47 PRECINCT 18,CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,476,151,627
CITY OF CHICAGO:WARD 47 PRECINCT 19,CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,445,156,601
CITY OF CHICAGO:WARD 47 PRECINCT 20,CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,353,160,513
CITY OF CHICAGO:WARD 47 PRECINCT 21,CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,379,151,530
CITY OF CHICAGO:WARD 47 PRECINCT 22,CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,291,129,420
CITY OF CHICAGO:WARD 47 PRECINCT 23,CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,370,144,514
CITY OF CHICAGO:WARD 47 PRECINCT 24,CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,419,184,603
CITY OF CHICAGO:WARD 47 PRECINCT 25,CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,324,131,455
CITY OF CHICAGO:WARD 47 PRECINCT 26,CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,406,221,627
CITY OF CHICAGO:WARD 47 PRECINCT 27,CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,370,197,567
CITY OF CHICAGO:WARD 47 PRECINCT 28,CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,254,145,399
CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,569,134,703
CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,165,58,223
CITY OF CHICAGO:WARD 48 PRECINCT 03,CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,270,76,346
CITY OF CHICAGO:WARD 48 PRECINCT 04,CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,362,91,453
CITY OF CHICAGO:WARD 48 PRECINCT 05,CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,208,73,281
CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,431,100,531
CITY OF CHICAGO:WARD 48 PRECINCT 07,CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,441,80,521
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,249,85,334
CITY OF CHICAGO:WARD 48 PRECINCT 09,CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,158,62,220
CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,497,116,613
CITY OF CHICAGO:WARD 48 PRECINCT 11,CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,339,108,447
CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,426,123,549
CITY OF CHICAGO:WARD 48 PRECINCT 13,CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,293,127,420
CITY OF CHICAGO:WARD 48 PRECINCT 14,CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,381,93,474
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,296,76,372
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,250,66,316
CITY OF CHICAGO:WARD 48 PRECINCT 17,CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,107,48,155
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,378,91,469
CITY OF CHICAGO:WARD 48 PRECINCT 19,CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,191,87,278
CITY OF CHICAGO:WARD 48 PRECINCT 20,CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,136,56,192
CITY OF CHICAGO:WARD 48 PRECINCT 21,CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,406,102,508
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,204,93,297
CITY OF CHICAGO:WARD 48 PRECINCT 23,CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,299,111,410
CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,422,166,588
CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,465,111,576
CITY OF CHICAGO:WARD 48 PRECINCT 26,CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,181,97,278
CITY OF CHICAGO:WARD 48 PRECINCT 27,CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,280,82,362
CITY OF CHICAGO:WARD 48 PRECINCT 28,CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,342,70,412
CITY OF CHICAGO:WARD 48 PRECINCT 29,CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,166,75,241
CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,387,127,514
CITY OF CHICAGO:WARD 48 PRECINCT 31,CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,408,93,501
CITY OF CHICAGO:WARD 48 PRECINCT 32,CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,260,64,324
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,119,73,192
CITY OF CHICAGO:WARD 48 PRECINCT 34,CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,317,69,386
CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,510,128,638
CITY OF CHICAGO:WARD 49 PRECINCT 01,CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,405,96,501
CITY OF CHICAGO:WARD 49 PRECINCT 02,CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,372,114,486
CITY OF CHICAGO:WARD 49 PRECINCT 03,CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,506,142,648
CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,629,83,712
CITY OF CHICAGO:WARD 49 PRECINCT 05,CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,561,122,683
CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,45,9,54
CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,611,118,729
CITY OF CHICAGO:WARD 49 PRECINCT 08,CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,792,116,908
CITY OF CHICAGO:WARD 49 PRECINCT 09,CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,594,114,708
CITY OF CHICAGO:WARD 49 PRECINCT 10,CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,409,96,505
CITY OF CHICAGO:WARD 49 PRECINCT 11,CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,413,98,511
CITY OF CHICAGO:WARD 49 PRECINCT 12,CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,317,84,401
CITY OF CHICAGO:WARD 49 PRECINCT 13,CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,518,100,618
CITY OF CHICAGO:WARD 49 PRECINCT 14,CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,617,133,750
CITY OF CHICAGO:WARD 49 PRECINCT 15,CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,609,105,714
CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,520,112,632
CITY OF CHICAGO:WARD 49 PRECINCT 17,CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,603,115,718
CITY OF CHICAGO:WARD 50 PRECINCT 01,CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,116,341,457
CITY OF CHICAGO:WARD 50 PRECINCT 02,CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,158,208,366
CITY OF CHICAGO:WARD 50 PRECINCT 03,CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,120,159,279
CITY OF CHICAGO:WARD 50 PRECINCT 04,CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,173,64,237
CITY OF CHICAGO:WARD 50 PRECINCT 05,CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,265,218,483
CITY OF CHICAGO:WARD 50 PRECINCT 06,CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,161,46,207
CITY OF CHICAGO:WARD 50 PRECINCT 07,CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,388,129,517
CITY OF CHICAGO:WARD 50 PRECINCT 08,CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,239,69,308
CITY OF CHICAGO:WARD 50 PRECINCT 09,CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,57,46,103
CITY OF CHICAGO:WARD 50 PRECINCT 10,CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,96,158,254
CITY OF CHICAGO:WARD 50 PRECINCT 11,CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,133,384,517
CITY OF CHICAGO:WARD 50 PRECINCT 12,CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,48,46,94
CITY OF CHICAGO:WARD 50 PRECINCT 13,CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,262,97,359
CITY OF CHICAGO:WARD 50 PRECINCT 14,CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,38,41,79
CITY OF CHICAGO:WARD 50 PRECINCT 15,CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,266,105,371
CITY OF CHICAGO:WARD 50 PRECINCT 16,CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,35,45,80
CITY OF CHICAGO:WARD 50 PRECINCT 17,CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,84,37,121
CITY OF CHICAGO:WARD 50 PRECINCT 18,CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,24,44,68
CITY OF CHICAGO:WARD 50 PRECINCT 19,CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,95,26,121
CITY OF CHICAGO:WARD 50 PRECINCT 20,CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,94,30,124
CITY OF CHICAGO:WARD 50 PRECINCT 21,CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,213,60,273
CITY OF CHICAGO:WARD 50 PRECINCT 22,CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,140,252,392
CITY OF CHICAGO:WARD 50 PRECINCT 23,CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,161,97,258
CITY OF CHICAGO:WARD 50 PRECINCT 24,CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,96,357,453
CITY OF CHICAGO:WARD 50 PRECINCT 25,CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,29,29,58
CITY OF CHICAGO:WARD 50 PRECINCT 26,CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,58,67,125
CITY OF CHICAGO:WARD 50 PRECINCT 27,CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,42,26,68
CITY OF CHICAGO:WARD 50 PRECINCT 28,CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,260,94,354
COOK:7000001,COOK:Barrington Precinct 1,Barrington,1,112,66,178
COOK:7000002,COOK:Barrington Precinct 2,Barrington,2,136,54,190
COOK:7000003,COOK:Barrington Precinct 3,Barrington,3,83,58,141
COOK:7000004,COOK:Barrington Precinct 4,Barrington,4,187,112,299
COOK:7000005,COOK:Barrington Precinct 5,Barrington,5,85,46,131
COOK:7000006,COOK:Barrington Precinct 6,Barrington,6,123,106,229
COOK:7000007,COOK:Barrington Precinct 7,Barrington,7,37,20,57
COOK:7000008,COOK:Barrington Precinct 8,Barrington,8,168,107,275
COOK:7000009,COOK:Barrington Precinct 9,Barrington,9,99,49,148
COOK:7000010,COOK:Barrington Precinct 10,Barrington,10,155,98,253
COOK:7000011,COOK:Barrington Precinct 11,Barrington,11,114,64,178
COOK:9901001,COOK:Berwyn Ward 1 Precinct 1,Berwyn,Ward 1 Precinct 1,107,73,180
COOK:9901002,COOK:Berwyn Ward 1 Precinct 2,Berwyn,Ward 1 Precinct 2,112,59,171
COOK:9901003,COOK:Berwyn Ward 1 Precinct 3,Berwyn,Ward 1 Precinct 3,169,86,255
COOK:9901004,COOK:Berwyn Ward 1 Precinct 4,Berwyn,Ward 1 Precinct 4,248,113,361
COOK:9902001,COOK:Berwyn Ward 2 Precinct 1,Berwyn,Ward 2 Precinct 1,79,40,119
COOK:9902002,COOK:Berwyn Ward 2 Precinct 2,Berwyn,Ward 2 Precinct 2,103,60,163
COOK:9902003,COOK:Berwyn Ward 2 Precinct 3,Berwyn,Ward 2 Precinct 3,147,101,248
COOK:9902004,COOK:Berwyn Ward 2 Precinct 4,Berwyn,Ward 2 Precinct 4,219,129,348
COOK:9903001,COOK:Berwyn Ward 3 Precinct 1,Berwyn,Ward 3 Precinct 1,239,133,372
COOK:9903002,COOK:Berwyn Ward 3 Precinct 2,Berwyn,Ward 3 Precinct 2,104,59,163
COOK:9903003,COOK:Berwyn Ward 3 Precinct 3,Berwyn,Ward 3 Precinct 3,179,85,264
COOK:9903004,COOK:Berwyn Ward 3 Precinct 4,Berwyn,Ward 3 Precinct 4,153,68,221
COOK:9904001,COOK:Berwyn Ward 4 Precinct 1,Berwyn,Ward 4 Precinct 1,62,49,111
COOK:9904002,COOK:Berwyn Ward 4 Precinct 2,Berwyn,Ward 4 Precinct 2,136,67,203
COOK:9904003,COOK:Berwyn Ward 4 Precinct 3,Berwyn,Ward 4 Precinct 3,157,72,229
COOK:9904004,COOK:Berwyn Ward 4 Precinct 4,Berwyn,Ward 4 Precinct 4,101,55,156
COOK:9905001,COOK:Berwyn Ward 5 Precinct 1,Berwyn,Ward 5 Precinct 1,161,88,249
COOK:9905002,COOK:Berwyn Ward 5 Precinct 2,Berwyn,Ward 5 Precinct 2,125,46,171
COOK:9905003,COOK:Berwyn Ward 5 Precinct 3,Berwyn,Ward 5 Precinct 3,96,33,129
COOK:9906001,COOK:Berwyn Ward 6 Precinct 1,Berwyn,Ward 6 Precinct 1,75,31,106
COOK:9906002,COOK:Berwyn Ward 6 Precinct 2,Berwyn,Ward 6 Precinct 2,79,34,113
COOK:9906003,COOK:Berwyn Ward 6 Precinct 3,Berwyn,Ward 6 Precinct 3,104,38,142
COOK:9906004,COOK:Berwyn Ward 6 Precinct 4,Berwyn,Ward 6 Precinct 4,138,61,199
COOK:9907001,COOK:Berwyn Ward 7 Precinct 1,Berwyn,Ward 7 Precinct 1,96,41,137
COOK:9907002,COOK:Berwyn Ward 7 Precinct 2,Berwyn,Ward 7 Precinct 2,109,51,160
COOK:9907003,COOK:Berwyn Ward 7 Precinct 3,Berwyn,Ward 7 Precinct 3,139,79,218
COOK:9907004,COOK:Berwyn Ward 7 Precinct 4,Berwyn,Ward 7 Precinct 4,125,46,171
COOK:9908001,COOK:Berwyn Ward 8 Precinct 1,Berwyn,Ward 8 Precinct 1,202,85,287
COOK:9908002,COOK:Berwyn Ward 8 Precinct 2,Berwyn,Ward 8 Precinct 2,127,74,201
COOK:9908003,COOK:Berwyn Ward 8 Precinct 3,Berwyn,Ward 8 Precinct 3,81,28,109
COOK:7100001,COOK:Bloom Precinct 1,Bloom,1,241,98,339
COOK:7100002,COOK:Bloom Precinct 2,Bloom,2,173,83,256
COOK:7100003,COOK:Bloom Precinct 3,Bloom,3,79,21,100
COOK:7100004,COOK:Bloom Precinct 4,Bloom,4,103,48,151
COOK:7100005,COOK:Bloom Precinct 5,Bloom,5,194,82,276
COOK:7100006,COOK:Bloom Precinct 6,Bloom,6,41,8,49
COOK:7100007,COOK:Bloom Precinct 7,Bloom,7,156,53,209
COOK:7100008,COOK:Bloom Precinct 8,Bloom,8,74,45,119
COOK:7100009,COOK:Bloom Precinct 9,Bloom,9,86,42,128
COOK:7100010,COOK:Bloom Precinct 10,Bloom,10,49,6,55
COOK:7100011,COOK:Bloom Precinct 11,Bloom,11,59,28,87
COOK:7100012,COOK:Bloom Precinct 12,Bloom,12,176,42,218
COOK:7100013,COOK:Bloom Precinct 13,Bloom,13,300,73,373
COOK:7100014,COOK:Bloom Precinct 14,Bloom,14,189,73,262
COOK:7100015,COOK:Bloom Precinct 15,Bloom,15,77,44,121
COOK:7100016,COOK:Bloom Precinct 16,Bloom,16,201,58,259
COOK:7100017,COOK:Bloom Precinct 17,Bloom,17,152,27,179
COOK:7100018,COOK:Bloom Precinct 18,Bloom,18,99,38,137
COOK:7100019,COOK:Bloom Precinct 19,Bloom,19,204,59,263
COOK:7100020,COOK:Bloom Precinct 20,Bloom,20,131,60,191
COOK:7100021,COOK:Bloom Precinct 21,Bloom,21,27,3,30
COOK:7100022,COOK:Bloom Precinct 22,Bloom,22,74,25,99
COOK:7100023,COOK:Bloom Precinct 23,Bloom,23,124,44,168
COOK:7100024,COOK:Bloom Precinct 24,Bloom,24,213,73,286
COOK:7100025,COOK:Bloom Precinct 25,Bloom,25,93,24,117
COOK:7100026,COOK:Bloom Precinct 26,Bloom,26,136,28,164
COOK:7100027,COOK:Bloom Precinct 27,Bloom,27,119,56,175
COOK:7100028,COOK:Bloom Precinct 28,Bloom,28,116,52,168
COOK:7100029,COOK:Bloom Precinct 29,Bloom,29,62,10,72
COOK:7100030,COOK:Bloom Precinct 30,Bloom,30,205,81,286
COOK:7100031,COOK:Bloom Precinct 31,Bloom,31,193,75,268
COOK:7100032,COOK:Bloom Precinct 32,Bloom,32,122,41,163
COOK:7100033,COOK:Bloom Precinct 33,Bloom,33,169,45,214
COOK:7100034,COOK:Bloom Precinct 34,Bloom,34,257,92,349
COOK:7100035,COOK:Bloom Precinct 35,Bloom,35,55,12,67
COOK:7100036,COOK:Bloom Precinct 36,Bloom,36,255,55,310
COOK:7100037,COOK:Bloom Precinct 37,Bloom,37,116,31,147
COOK:7100038,COOK:Bloom Precinct 38,Bloom,38,509,144,653
COOK:7100039,COOK:Bloom Precinct 39,Bloom,39,99,23,122
COOK:7100040,COOK:Bloom Precinct 40,Bloom,40,349,123,472
COOK:7100041,COOK:Bloom Precinct 41,Bloom,41,231,78,309
COOK:7100042,COOK:Bloom Precinct 42,Bloom,42,262,64,326
COOK:7100043,COOK:Bloom Precinct 43,Bloom,43,207,56,263
COOK:7100044,COOK:Bloom Precinct 44,Bloom,44,164,65,229
COOK:7100045,COOK:Bloom Precinct 45,Bloom,45,243,92,335
COOK:7100046,COOK:Bloom Precinct 46,Bloom,46,73,19,92
COOK:7100047,COOK:Bloom Precinct 47,Bloom,47,172,76,248
COOK:7100048,COOK:Bloom Precinct 48,Bloom,48,143,38,181
COOK:7100049,COOK:Bloom Precinct 49,Bloom,49,354,88,442
COOK:7100050,COOK:Bloom Precinct 50,Bloom,50,211,47,258
COOK:7100051,COOK:Bloom Precinct 51,Bloom,51,65,15,80
COOK:7100052,COOK:Bloom Precinct 52,Bloom,52,111,27,138
COOK:7100053,COOK:Bloom Precinct 53,Bloom,53,61,14,75
COOK:7100054,COOK:Bloom Precinct 54,Bloom,54,103,33,136
COOK:7200001,COOK:Bremen Precinct 1,Bremen,1,166,44,210
COOK:7200002,COOK:Bremen Precinct 2,Bremen,2,177,48,225
COOK:7200003,COOK:Bremen Precinct 3,Bremen,3,103,103,206
COOK:7200004,COOK:Bremen Precinct 4,Bremen,4,119,41,160
COOK:7200005,COOK:Bremen Precinct 5,Bremen,5,68,40,108
COOK:7200006,COOK:Bremen Precinct 6,Bremen,6,94,62,156
COOK:7200007,COOK:Bremen Precinct 7,Bremen,7,101,27,128
COOK:7200008,COOK:Bremen Precinct 8,Bremen,8,109,34,143
COOK:7200009,COOK:Bremen Precinct 9,Bremen,9,120,74,194
COOK:7200010,COOK:Bremen Precinct 10,Bremen,10,84,73,157
COOK:7200011,COOK:Bremen Precinct 11,Bremen,11,110,77,187
COOK:7200012,COOK:Bremen Precinct 12,Bremen,12,250,52,302
COOK:7200013,COOK:Bremen Precinct 13,Bremen,13,104,48,152
COOK:7200014,COOK:Bremen Precinct 14,Bremen,14,76,42,118
COOK:7200015,COOK:Bremen Precinct 15,Bremen,15,83,101,184
COOK:7200016,COOK:Bremen Precinct 16,Bremen,16,74,61,135
COOK:7200017,COOK:Bremen Precinct 17,Bremen,17,143,46,189
COOK:7200018,COOK:Bremen Precinct 18,Bremen,18,98,65,163
COOK:7200019,COOK:Bremen Precinct 19,Bremen,19,130,77,207
COOK:7200020,COOK:Bremen Precinct 20,Bremen,20,94,71,165
COOK:7200021,COOK:Bremen Precinct 21,Bremen,21,121,40,161
COOK:7200022,COOK:Bremen Precinct 22,Bremen,22,59,31,90
COOK:7200023,COOK:Bremen Precinct 23,Bremen,23,43,7,50
COOK:7200024,COOK:Bremen Precinct 24,Bremen,24,50,51,101
COOK:7200025,COOK:Bremen Precinct 25,Bremen,25,90,63,153
COOK:7200026,COOK:Bremen Precinct 26,Bremen,26,219,61,280
COOK:7200027,COOK:Bremen Precinct 27,Bremen,27,97,71,168
COOK:7200028,COOK:Bremen Precinct 28,Bremen,28,37,26,63
COOK:7200029,COOK:Bremen Precinct 29,Bremen,29,254,55,309
COOK:7200030,COOK:Bremen Precinct 30,Bremen,30,84,56,140
COOK:7200031,COOK:Bremen Precinct 31,Bremen,31,133,44,177
COOK:7200032,COOK:Bremen Precinct 32,Bremen,32,231,74,305
COOK:7200033,COOK:Bremen Precinct 33,Bremen,33,89,60,149
COOK:7200034,COOK:Bremen Precinct 34,Bremen,34,114,61,175
COOK:7200035,COOK:Bremen Precinct 35,Bremen,35,184,51,235
COOK:7200036,COOK:Bremen Precinct 36,Bremen,36,228,63,291
COOK:7200037,COOK:Bremen Precinct 37,Bremen,37,140,32,172
COOK:7200038,COOK:Bremen Precinct 38,Bremen,38,126,80,206
COOK:7200039,COOK:Bremen Precinct 39,Bremen,39,81,24,105
COOK:7200040,COOK:Bremen Precinct 40,Bremen,40,287,67,354
COOK:7200041,COOK:Bremen Precinct 41,Bremen,41,78,55,133
COOK:7200042,COOK:Bremen Precinct 42,Bremen,42,82,59,141
COOK:7200043,COOK:Bremen Precinct 43,Bremen,43,94,39,133
COOK:7200044,COOK:Bremen Precinct 44,Bremen,44,122,78,200
COOK:7200045,COOK:Bremen Precinct 45,Bremen,45,51,19,70
COOK:7200046,COOK:Bremen Precinct 46,Bremen,46,287,72,359
COOK:7200047,COOK:Bremen Precinct 47,Bremen,47,134,32,166
COOK:7200048,COOK:Bremen Precinct 48,Bremen,48,119,32,151
COOK:7200049,COOK:Bremen Precinct 49,Bremen,49,160,47,207
COOK:7200050,COOK:Bremen Precinct 50,Bremen,50,108,108,216
COOK:7200051,COOK:Bremen Precinct 51,Bremen,51,113,21,134
COOK:7200052,COOK:Bremen Precinct 52,Bremen,52,100,42,142
COOK:7200053,COOK:Bremen Precinct 53,Bremen,53,42,39,81
COOK:7200054,COOK:Bremen Precinct 54,Bremen,54,58,51,109
COOK:7200055,COOK:Bremen Precinct 55,Bremen,55,81,34,115
COOK:7200056,COOK:Bremen Precinct 56,Bremen,56,154,38,192
COOK:9400012,COOK:Bremen Precinct 57,Bremen,57,89,62,151
COOK:7200058,COOK:Bremen Precinct 58,Bremen,58,80,65,145
COOK:7200059,COOK:Bremen Precinct 59,Bremen,59,67,46,113
